Game, Score, Total Reward, Record1, 15, 12, 15
2, 3, 0, 15
3, 4, 3, 15
4, 6, 3, 15
5, 15, 6, 15
6, 5, 3, 15
7, 3, 0, 15
8, 4, 0, 15
9, 5, 3, 15
10, 2, -3, 15
11, 6, 3, 15
12, 1, -6, 15
13, 2, -3, 15
14, 3, -3, 15
15, 5, 3, 15
16, 4, 0, 15
17, 1, -6, 15
18, 4, 3, 15
19, 6, 6, 15
20, 6, 6, 15
21, 3, 0, 15
22, 5, 3, 15
23, 4, 3, 15
24, 3, 0, 15
25, 1, -6, 15
26, 4, 0, 15
27, 3, 0, 15
28, 3, 0, 15
29, 2, -3, 15
30, 3, 0, 15
31, 3, 0, 15
32, 4, 0, 15
33, 2, -3, 15
34, 6, -3, 15
35, 3, -3, 15
36, 4, 0, 15
37, 4, 3, 15
38, 4, 3, 15
39, 2, -3, 15
40, 2, -3, 15
41, 3, 0, 15
42, 1, -6, 15
43, 4, 3, 15
44, 6, -3, 15
45, 7, 9, 15
46, 3, 0, 15
47, 1, -6, 15
48, 0, -9, 15
49, 2, -3, 15
50, 2, -3, 15
51, 4, 0, 15
52, 4, 0, 15
53, 4, 0, 15
54, 2, -3, 15
55, 1, -6, 15
56, 2, 3, 15
57, 2, -3, 15
58, 3, -3, 15
59, 3, 0, 15
60, 4, 0, 15
61, 2, -3, 15
62, 2, -3, 15
63, 9, 12, 15
64, 1, 0, 15
65, 3, -3, 15
66, 1, -6, 15
67, 3, 0, 15
68, 8, 9, 15
69, 3, -3, 15
70, 2, -3, 15
71, 0, -9, 15
72, 2, -3, 15
73, 3, 0, 15
74, 3, 0, 15
75, 0, -9, 15
76, 3, 0, 15
77, 2, -3, 15
78, 2, -3, 15
79, 0, -9, 15
80, 3, 0, 15
81, 3, -3, 15
82, 4, 0, 15
83, 3, -3, 15
84, 2, -3, 15
85, 0, -9, 15
86, 0, -9, 15
87, 2, -3, 15
88, 1, -6, 15
89, 7, 0, 15
90, 1, -6, 15
91, 2, -3, 15
92, 8, 3, 15
93, 1, -6, 15
94, 3, -3, 15
95, 4, 0, 15
96, 2, -3, 15
97, 2, -3, 15
98, 2, -3, 15
99, 5, 3, 15
100, 2, -3, 15
101, 2, -3, 15
102, 4, 3, 15
103, 3, -3, 15
104, 1, -6, 15
105, 3, 0, 15
106, 3, 0, 15
107, 6, -3, 15
108, 1, -6, 15
109, 3, 0, 15
110, 2, -3, 15
111, 0, -9, 15
112, 2, -3, 15
113, 1, -6, 15
114, 1, -6, 15
115, 1, -6, 15
116, 1, -6, 15
117, 1, -6, 15
118, 3, 0, 15
119, 3, -3, 15
120, 2, -3, 15
121, 2, -3, 15
